#ies_format_version: 1.0
#file: 20241213_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_photovoltaics;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. PV Power Production
#005;	power_heatpump;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Heat Pump Power Consumption
#006;	power_grid;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. Grid Power
#007;	power_electric_vehicle;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. EV Power Consumption
#008;	ev_power_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#009;	power_photovoltaics_aggr;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#010;	status_electric_vehicle;	FALSE;	TRUE;	0;	other;	STRING,20. (calculated by demo app)
#011;	energy_exported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
#012;	energy_imported;	FALSE;	TRUE;	kWh;	other;	DOUBLE,9. (calculated by demo app)
YYYYMMDD;	hhmmss;	unixtimestamp;	power_photovoltaics;	power_heatpump;	power_grid;	power_electric_vehicle;	ev_power_aggr;	power_photovoltaics_aggr;	status_electric_vehicle;	energy_exported;	energy_imported
20241213;	113710;	1734086230.000;	   +7.034;	   +0.009;	   -7.568;	   +0.017;	   +0.017;	   +6.076;	idle                ;	   +0.673;	   +0.000
20241213;	113715;	1734086235.000;	   +5.497;	   +0.010;	   -5.346;	   +0.017;	   +0.017;	   +7.678;	idle                ;	   +0.680;	   +0.000
20241213;	113720;	1734086240.000;	   +5.178;	   +0.009;	   -5.206;	   +0.016;	   +0.017;	   +7.034;	idle                ;	   +0.687;	   +0.000
20241213;	113725;	1734086245.000;	   +4.562;	   +0.009;	   -4.837;	   +0.017;	   +0.017;	   +5.497;	idle                ;	   +0.694;	   +0.000
20241213;	113730;	1734086250.000;	   +3.925;	   +0.009;	   -3.979;	   +0.017;	   +0.016;	   +5.178;	idle                ;	   +0.700;	   +0.000
20241213;	113735;	1734086255.000;	   +3.531;	   +0.009;	   -3.499;	   +0.016;	   +0.017;	   +4.562;	idle                ;	   +0.705;	   +0.000
20241213;	113740;	1734086260.000;	   +3.463;	   +0.009;	   -3.388;	   +0.017;	   +0.017;	   +3.925;	idle                ;	   +0.709;	   +0.000
20241213;	113745;	1734086265.000;	   +3.524;	   +0.009;	   -3.419;	   +0.017;	   +0.016;	   +3.531;	idle                ;	   +0.714;	   +0.000
20241213;	113750;	1734086270.000;	   +3.786;	   +0.009;	   -3.619;	   +0.017;	   +0.017;	   +3.463;	idle                ;	   +0.719;	   +0.000
20241213;	113755;	1734086275.000;	   +3.769;	   +0.009;	   -4.006;	   +0.017;	   +0.017;	   +3.524;	idle                ;	   +0.725;	   +0.000
20241213;	113800;	1734086280.000;	   +3.624;	   +0.009;	   -3.548;	   +0.017;	   +0.017;	   +3.786;	idle                ;	   +0.729;	   +0.000
20241213;	113805;	1734086285.000;	   +3.592;	   +0.009;	   -3.513;	   +0.017;	   +0.017;	   +3.769;	idle                ;	   +0.734;	   +0.000
20241213;	113810;	1734086290.000;	   +3.683;	   +0.009;	   -3.569;	   +0.017;	   +0.017;	   +3.624;	idle                ;	   +0.739;	   +0.000
20241213;	113815;	1734086295.000;	   +3.880;	   +0.009;	   -3.904;	   +0.017;	   +0.017;	   +3.592;	idle                ;	   +0.745;	   +0.000
20241213;	113820;	1734086300.000;	   +3.678;	   +0.009;	   -3.646;	   +0.017;	   +0.017;	   +3.683;	idle                ;	   +0.750;	   +0.000
20241213;	113825;	1734086305.000;	   +3.625;	   +0.009;	   -3.548;	   +0.017;	   +0.017;	   +3.880;	idle                ;	   +0.755;	   +0.000
20241213;	113830;	1734086310.000;	   +3.878;	   +0.009;	   -3.652;	   +0.017;	   +0.017;	   +3.678;	idle                ;	   +0.760;	   +0.000
20241213;	113835;	1734086315.000;	   +3.870;	   +0.009;	   -3.945;	   +0.017;	   +0.017;	   +3.625;	idle                ;	   +0.765;	   +0.000
20241213;	113840;	1734086320.000;	   +3.744;	   +0.009;	   -3.583;	   +0.017;	   +0.017;	   +3.878;	idle                ;	   +0.770;	   +0.000
20241213;	113845;	1734086325.000;	   +3.582;	   +0.009;	   -3.543;	   +0.017;	   +0.017;	   +3.870;	idle                ;	   +0.775;	   +0.000
20241213;	113850;	1734086330.000;	   +3.442;	   +0.009;	   -3.386;	   +0.017;	   +0.017;	   +3.744;	idle                ;	   +0.780;	   +0.000
20241213;	113855;	1734086335.000;	   +3.473;	   +0.009;	   -3.364;	   +0.017;	   +0.017;	   +3.582;	idle                ;	   +0.785;	   +0.000
20241213;	113900;	1734086340.000;	   +4.071;	   +0.009;	   -3.895;	   +0.017;	   +0.017;	   +3.442;	idle                ;	   +0.790;	   +0.000
20241213;	113905;	1734086345.000;	   +3.826;	   +0.009;	   -3.845;	   +0.017;	   +0.017;	   +3.473;	idle                ;	   +0.795;	   +0.000
20241213;	113910;	1734086350.000;	   +3.303;	   +0.009;	   -3.271;	   +0.017;	   +0.017;	   +4.071;	idle                ;	   +0.800;	   +0.000
20241213;	113915;	1734086355.000;	   +3.077;	   +0.009;	   -3.044;	   +0.017;	   +0.017;	   +3.826;	idle                ;	   +0.804;	   +0.000
20241213;	113920;	1734086360.000;	   +2.998;	   +0.009;	   -2.936;	   +0.017;	   +0.017;	   +3.303;	idle                ;	   +0.808;	   +0.000
20241213;	113925;	1734086365.000;	   +2.970;	   +0.009;	   -2.896;	   +0.016;	   +0.017;	   +3.077;	idle                ;	   +0.812;	   +0.000
20241213;	113930;	1734086370.000;	   +2.958;	   +0.009;	   -2.885;	   +0.017;	   +0.017;	   +2.998;	idle                ;	   +0.816;	   +0.000
20241213;	113935;	1734086375.000;	   +2.949;	   +0.009;	   -2.872;	   +0.017;	   +0.016;	   +2.970;	idle                ;	   +0.820;	   +0.000
20241213;	113940;	1734086380.000;	   +2.946;	   +0.009;	   -2.867;	   +0.017;	   +0.017;	   +2.958;	idle                ;	   +0.824;	   +0.000
