#ies_format_version: 1.0
#file: 20241212_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241212;	120722;	1734001642.000;	   +0.498
20241212;	120727;	1734001647.000;	   +1.300
20241212;	120732;	1734001652.000;	   +1.418
20241212;	120737;	1734001657.000;	   +1.459
20241212;	120742;	1734001662.000;	   +1.009
20241212;	120747;	1734001667.000;	   +0.241
20241212;	120752;	1734001672.000;	   +0.483
20241212;	120757;	1734001677.000;	   +0.346
20241212;	120802;	1734001682.000;	   +0.379
20241212;	120807;	1734001687.000;	   +0.452
20241212;	120812;	1734001692.000;	   +0.267
20241212;	120817;	1734001697.000;	   +0.570
20241212;	120822;	1734001702.000;	   +0.240
20241212;	120827;	1734001707.000;	   +0.513
20241212;	120832;	1734001712.000;	   +0.375
20241212;	120837;	1734001717.000;	   +0.414
20241212;	120842;	1734001722.000;	   +1.797
20241212;	120847;	1734001727.000;	   +0.000
20241212;	120852;	1734001732.000;	   +0.407
20241212;	120857;	1734001737.000;	   +0.186
20241212;	120902;	1734001742.000;	   +0.470
20241212;	120907;	1734001747.000;	   +0.324
20241212;	120912;	1734001752.000;	   +0.351
20241212;	120917;	1734001757.000;	   +0.439
20241212;	120922;	1734001762.000;	   +0.204
20241212;	120927;	1734001767.000;	   +0.512
20241212;	120932;	1734001772.000;	   +0.182
20241212;	120937;	1734001777.000;	   +0.441
20241212;	120942;	1734001782.000;	   +0.302
20241212;	120947;	1734001787.000;	   +0.356
20241212;	120952;	1734001792.000;	   +0.000
20241212;	120957;	1734001797.000;	   +0.000
20241212;	121002;	1734001802.000;	   +0.502
20241212;	121007;	1734001807.000;	   +0.511
20241212;	121012;	1734001812.000;	   +1.087
20241212;	121017;	1734001817.000;	   +1.060
20241212;	121022;	1734001822.000;	   +1.446
20241212;	121027;	1734001827.000;	   +0.000
20241212;	121032;	1734001832.000;	   +0.218
20241212;	121037;	1734001837.000;	   +0.508
20241212;	121042;	1734001842.000;	   +0.150
20241212;	121047;	1734001847.000;	   +0.454
20241212;	121052;	1734001852.000;	   +0.182
20241212;	121057;	1734001857.000;	   +0.874
20241212;	121102;	1734001862.000;	   +0.337
20241212;	121107;	1734001867.000;	   +0.138
20241212;	121112;	1734001872.000;	   +0.493
20241212;	121117;	1734001877.000;	   +0.254
20241212;	121122;	1734001882.000;	   +0.429
20241212;	121127;	1734001887.000;	   +0.313
20241212;	121132;	1734001892.000;	   +0.313
20241212;	121137;	1734001897.000;	   +0.389
20241212;	121142;	1734001902.000;	   +0.210
20241212;	121147;	1734001907.000;	   +0.530
